card,from,to,constants,function,args,include_in_source_field,include_in_card
ObjectTypes,kenmerken.lhtypedc,Object Type,,,,"['dcbr', 'dcdo', 'dcfi', 'dcfo', 'dcge', 'dcid', 'dcka', 'dckn', 'dclb', 'dcli', 'dclk', 'dclr', 'dcmn', 'dcob', 'dcov', 'dcsw']",
ObjectTypes,kenmerken.lhtypeob,Object Type,,,,"['vaud', 'vbri', 'vhui', 'vkun', 'vmed', 'vmem', 'vmeu', 'vmuz', 'vrek', 'vroo', 'vschi', 'vschr', 'vsie', 'vtex', 'vtro', 'vwap']",
ObjectTypes,kenmerken.lhtypeph,Object Type,,,,"['CD', 'CN', 'CP', 'DT', 'GN', 'SC', 'ZD', 'ZN', 'ZP']",
ObjectTypes,kenmerken.mpmgenrehs,Object Type,,,,"['dr', 'gen', 'gg', 'pz', 'vp']",
ObjectTypes,kenmerken.mpmtypeak,Object Type,,,,"['akak', 'akco', 'akge', 'akkw', 'akoo', 'akpa', 'akpo', 'akpr', 'aksc', 'akte', 'akvo', 'akvr']",
ObjectTypes,kenmerken.mpmtypeph,Object Type,,,,['ZP'],
ObjectTypes,kenmerken.mpmtypere,Object Type,,,,"['rebb', 'redb', 'regb', 'rein', 'rekb']",
ObjectTypes,kenmerken.mpmtypetk,Object Type,,,,"['ttkt', 'tttek']",
ObjectTypes,kenmerken.mpmtypohs,Object Type,,,,['form'],
ObjectTypes,kenmerken.rubedformgr,Object Type,,,,"['dtrvak', 'dtrvat', 'dtrvbb', 'dtrvbk', 'dtrvbm', 'dtrvbo', 'dtrvbr', 'dtrvbu', 'dtrvdo', 'dtrvdp', 'dtrvdw', 'dtrvfk', 'dtrvfo', 'dtrvfr', 'dtrvgr', 'dtrvhs', 'dtrvif', 'dtrvka', 'dtrvkb', 'dtrvkn', 'dtrvnb', 'dtrvnt', 'dtrvod', 'dtrvpd', 'dtrvpk', 'dtrvpr', 'dtrvre', 'dtrvrf', 'dtrvrg', 'dtrvrn', 'dtrvtc', 'dtrvtg', 'dtrvtp', 'dtrvts', 'dtrvty', 'dtrvui', 'dtrvvc', 'dtrvvi', 'dtrvvk']",
ObjectTypes,kenmerken.rubgenrehs,Object Type,,,,"['ag', 'nb']",
ObjectTypes,kenmerken.rubtypedoc,Object Type,,,,['dcdo'],
GenreTypes,kenmerken.lhgenrehs,Genre Type,,,,"['bp', 'dr', 'pz', 'vp']",
GenreTypes,kenmerken.mpmgenrehs,Genre Type,,,,"['dr', 'pz', 'vp']",
WritingMaterials,kenmerken.lhschrijfhs,Writing material,,,,"['bi', 'ft', 'in', 'pc']",
WritingMaterials,kenmerken.mpmschrijf,Writing material,,,,"['in', 'pc']",
WritingMaterials,kenmerken.rubschrijfhs,Writing material,,,,"['bi', 'in', 'pc']",
Languages,kenmerken.lhlanguagehs,Language,,,,"['dut', 'eng', 'fre', 'ger', 'gri', 'ita', 'lat', 'noo', 'por', 'spa', 'zwe']",
Languages,kenmerken.mpmlanguage,Language,,,,"['dut', 'eng', 'fre', 'ger', 'ita', 'lat', 'por', 'spa']",
Languages,kenmerken.rublanguagehs,Language,,,,"['dut', 'eng', 'fre', 'ger']",
MerktekenTypes,kenmerken.mpmwaarmerk,Merkteken Type,,,,"['akwagm', 'akwaht', 'akwaze']",
Keywords,kenmerken.rubkeyword,Keyword,,,,,
Correspondence,kenmerken.rubsender,Textual Actor Note,{'Textual Actor Role': 'writers (clerical workers)'},,,,
Correspondence,kenmerken.rubrecipient,Textual Actor Note,{'Textual Actor Role': 'recipients (people)'},,,,
AssociatedArchives,kenmerken.rubobjnrgr,Associated Archive Relation,,,,,
Marks,note.lhsignatuur,Mark Text,"{'Mark Type': 'signatures (names)', 'Mark Language': 'Nederlands'}",,,,
Marks,note.mpmsignatuur,Mark Text,"{'Mark Type': 'signatures (names)', 'Mark Language': 'Nederlands'}",,,,
Marks,note.mpminscriptie,Mark Text,"{'Mark Type': 'inscriptions', 'Mark Language': 'Nederlands'}",,,,
Descriptions,id.title/subTitle,Description,"{'Description Type': 'descriptive note', 'Description Language': 'Nederlands'}",,,,
Descriptions,id.desc,Description,"{'Description Type': 'descriptive note', 'Description Language': 'Nederlands'}",,,,
Descriptions,note.lhcontentbr,Description,"{'Description Type': 'descriptive note', 'Description Language': 'Nederlands'}",,,,
Descriptions,note.lhdetail,Description,"{'Description Type': 'detailbeschrijving', 'Description Language': 'Nederlands'}",,,,
Descriptions,note.mpmcontent,Description,"{'Description Type': 'descriptive note', 'Description Language': 'Nederlands'}",,,,
Descriptions,note.mpmdetail,Description,"{'Description Type': 'detailbeschrijving', 'Description Language': 'Nederlands'}",,,,
Descriptions,note.rubdetail,Description,"{'Description Type': 'detailbeschrijving', 'Description Language': 'Nederlands'}",,,,
Images,ill.lowres,Illustration URL,{'Illustration Type': 'Lage resolutie'},,,,
Images,ill.highres,Illustration URL,{'Illustration Type': 'Hoge resolutie'},,,,
Items,adm.inv,Registration Number value,,,,,
Items,adm.magazijnplaats,Warehouse Location (begin),,,,,
Items,adm.magazijnplaats_alt6,Warehouse Location (ende),,,,,
Items,adm.plaatsingsnummer,Location Number,,,,,
Items,adm.volgnummer,Serial Number,,,,,
Items,adm.isadPartOf,Archive Note,,,,,
Items,adm.archiefstuknummer,Archive Note,,,,,
Items,adm.acquiredVia,Acquisition Note,,,,,
LegacyInformation,if.rawcontent,Legacy Information Value,"{'Legacy Information Type': 'commentaar gebruiker', 'Legacy Information Published': 'False'}",,,,
LegacyInformation,note.lhherkomst,Legacy Information Value,"{'Legacy Information Type': 'herkomst', 'Legacy Information Published': 'False'}",,,,
LegacyInformation,kenmerken.lhvoorlstandic,Legacy Information Value,"{'Legacy Information Type': 'temporary location', 'Legacy Information Published': 'False'}",,,,
LegacyInformation,id.objectNumber,Legacy Information Value,"{'Legacy Information Type': 'referentienummer', 'Legacy Information Published': 'False'}",,,,
LegacyInformation,brocade.id,Legacy Information Value,"{'Legacy Information Type': 'brocade id', 'Legacy Information Published': 'False'}",,,,
LegacyInformation,note.lhvoorlstandic,Legacy Information Value,"{'Legacy Information Type': 'temporary location note', 'Legacy Information Published': 'False'}",,,,
LegacyInformation,brocade.url,Legacy Information Value,"{'Legacy Information Type': 'brocade url', 'Legacy Information Published': 'False'}",,,,
LegacyInformationMerged,kenmerken.lhitembr,number,,,,,
LegacyInformationMerged,kenmerken.lhdescrbr,type,"{'Legacy Information Type': 'groepsbeschrijving', 'Legacy Information Published': 'False'}",,,,
LegacyInformationMerged,kenmerken.mpmitembr,number,,,,,
LegacyInformationMerged,kenmerken.mpmdescrbr,type,"{'Legacy Information Type': 'groepsbeschrijving', 'Legacy Information Published': 'False'}",,,,
Subjects,ow.link,External Relation URL,"{'External Relation': 'andere', 'External Relation URL Type': 'Bibliotheekcatalogus van het Rubenianum'}",,,,
Subjects,doc.mpmtranscription,External Relation URL,"{'External Relation': 'transcripts', 'External Relation URL Type': 'uniform resource locators'}",,,,
ProductStadiums,kenmerken.lhstadiumhs,Product stadium,,,,"['vdp', 'vdr', 'vt']",
ProductStadiums,kenmerken.lhtypebr,Product stadium,,,,['brkl'],
ProductStadiums,kenmerken.mpmorigak,Product stadium,,,,['con'],
ProductStadiums,kenmerken.mpmorighs,Product stadium,,,,['con'],
ProductStadiums,kenmerken.rubedformgr,Product stadium,,,,"['dtrvdp', 'dtrvkb', 'dtrvpd']",
DocumentStatus,kenmerken.lhorighs,Document status,,,,"['cc', 'fc', 'op', 'ph', 'tc']",
DocumentStatus,kenmerken.lhstadiumhs,Document status,,,,['as'],
DocumentStatus,kenmerken.lhtypebr,Document status,,,,['brem'],
DocumentStatus,kenmerken.mpmorigak,Document status,,,,"['akex', 'tc']",
DocumentStatus,kenmerken.mpmorighs,Document status,,,,['tc'],
DocumentStatus,kenmerken.rubedformgr,Document status,,,,['dtrvfk'],
Carrier,kenmerken/lhdragerico.lhdragertypeico,Carrier Type,,,,"['ddh', 'ddo', 'ddp', 'det', 'dgl', 'dgp', 'dgs', 'dhb', 'dho', 'dhp', 'djp', 'dko', 'dkp', 'dkr', 'dkt', 'dli', 'dlp', 'dmd', 'dpa', 'dpd', 'dpk', 'dpm', 'dpp', 'dpr', 'drp', 'dsb', 'dsp', 'dtp', 'dun', 'dvp', 'dzy']",
Carrier,kenmerken.lhdragerps,Carrier Type,,,,"['ddo', 'dkt', 'dpp']",
Carrier,kenmerken.mpmdragerak,Carrier Type,,,,"['dpm', 'dpp']",
Carrier,kenmerken.mpmdragertk,Carrier Type,,,,['dpp'],
OriginalBrocade,ire.identifier,Entity Identifier,,,,,
OriginalBrocade,ire.isaar.name,Entity Name,,,,,
OriginalBrocade,ire.role,Entity Relation,,,,,
OriginalBrocade,ire.markdown,Entity Note,,,,,
OriginalBrocade,ire.isaar.id,ISAAR Brocade ID,,,,,
OriginalBrocade,au.type,Entity Type,,,,,
OriginalBrocade,ire.widget,Entity Widget,,,,,
ProductionActors,ire.identifier,Production Actor Identifier,,,,,
ProductionActors,ire.isaar.name,Production Actor Name,,,,,
ProductionActors,ire.role,Production Actor Role,,,,,
ProductionActors,ire.markdown,Production Actor Note,,,,,
ProductionActors,au.type,Production Actor Type,,,,,
ProductionActors,ire.widget,Production Actor Widget,,,,,
ImmaterialObjects,ire.isaar.uuid,Actor Identifier,,,,,
ImmaterialObjects,ire.isaar.name,Actor Name,,,,,
ImmaterialObjects,ire.role,Actor Role,,,,,
ImmaterialObjects,ire.markdown,Actor Note,,,,,
ImmaterialObjects,ire.isaar.id,ISAAR Brocade ID,,,,,
ProductionPlaces,ark,Production Place Identifier,,,,,
ProductionPlaces,json,Production Place Widget,,,,,
IdLookup,brocade.uuid,ResourceID,,,,,
VisualContent,ire.identifier,Visual Actor Identifier,,,,,
VisualContent,ire.isaar.name,Visual Actor Name,,,,,
VisualContent,ire.role,Visual Actor Role,,,,,
VisualContent,ire.markdown,Visual Actor Note,,,,,
VisualContent,ire.isaar.id,Visual ISAAR Brocade ID,,,,,
VisualContent,ire.widget,Visual Actor Widget,,,,,
TextualContent,ire.identifier,Textual Actor Identifier,,,,,
TextualContent,ire.isaar.name,Textual Actor Name,,,,,
TextualContent,ire.role,Textual Actor Role,,,,,
TextualContent,ire.markdown,Textual Actor Note,,,,,
TextualContent,ire.isaar.id,Textual ISAAR Brocade ID,,,,,
TextualContent,ire.widget,Textual Actor Widget,,,,,
ArtisticContent,ire.identifier,Artistic Actor Identifier,,,,,
ArtisticContent,ire.isaar.name,Artistic Actor Name,,,,,
ArtisticContent,ire.role,Artistic Actor Role,,,,,
ArtisticContent,ire.markdown,Artistic Actor Note,,,,,
ArtisticContent,ire.isaar.id,Artistic ISAAR Brocade ID,,,,,
ArtisticContent,ire.widget,Artistic Actor Widget,,,,,
Titles,id.title/dt,Title,{'Title Type': 'published titles'},,,,
Titles,id.title/ft,Title,{'Title Type': 'incipits'},,,,
Titles,id.title/in,Title,{'Title Type': 'incipits'},,,,
Titles,id.title/ot,Title,{'Title Type': 'collective titles'},,,,
Titles,id.title/ti,Title,{'Title Type': 'titles proper'},,,,
Formats,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,Format Number,"{'Format Unit Type': 'folios', 'Format Number Type': 'written'}",type_lookup,"{'from': 'kenmerken/mpmpageswrittenhs.mpmpageswrittenhstype', 'to': 'Format Unit Qualifier'}",,
Formats,kenmerken/mpmpageshs.mpmpageshsnumber,Format Number,"{'Format Unit Type': 'folios', 'Format Number Type': 'total'}",type_lookup,"{'from': 'kenmerken/mpmpageshs.mpmpageshstype', 'to': 'Format Unit Qualifier'}",,
Formats,kenmerken/rubpageshs.rubpageshsnumber,Format Number,"{'Format Unit Type': 'folios', 'Format Number Type': 'total'}",type_lookup,"{'from': 'kenmerken/rubpageshs.rubpageshstype', 'to': 'Format Unit Qualifier'}",,
Formats,kenmerken/rubpageswrittenhs.rubpageswrittenhsnumber,Format Number,"{'Format Unit Type': 'pages', 'Format Number Type': 'written'}",type_lookup,"{'from': 'kenmerken/rubpageswrittenhs.rubpageswrittenhstype', 'to': 'Format Unit Qualifier'}",,
Formats,kenmerken/lhpageshs.lhpageshsnumber,Sheet Numbers,"{'Format Unit Type': 'folios', 'Format Number Type': 'total'}",type_lookup,"{'from': 'kenmerken/lhpageshs.lhpageshstype', 'to': 'Format Unit Qualifier'}",,
Formats,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,Page Numbers,"{'Format Unit Type': 'pages', 'Format Number Type': 'written'}",type_lookup,"{'from': 'kenmerken/lhpageswrittenhs.lhpageswrittenhstyp', 'to': 'Format Unit Qualifier'}",,
ProductionTechniques,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['vlak', 'vzil']",
ProductionTechniques,kenmerken/lhmateriaalob.lhmateriaalextraob,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['vema', 'vlak', 'vpat', 'vzil']",
ProductionTechniques,kenmerken.lhorighs,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},['df'],
ProductionTechniques,kenmerken.lhstadiumhs,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['hs', 'ts']",
ProductionTechniques,kenmerken/lhtechaanvsc.lhtechtaddsc,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['xgr', 'xgs', 'xpa', 'xps']",
ProductionTechniques,kenmerken/lhtechaanvtk.lhtechtaddtk,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['tgt', 'tpe', 'tps', 'zat', 'zdn', 'zga', 'zgw', 'zkg', 'zlv', 'zmt', 'ztd']",
ProductionTechniques,kenmerken/lhtechbasispa.lhtechpa,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},['sag'],
ProductionTechniques,kenmerken/lhtechbasispr.lhtechpr,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['paq', 'pau', 'pbg', 'pcl', 'pcv', 'pdn', 'pee', 'pet', 'pfg', 'pfl', 'phg', 'phs', 'pka', 'pkd', 'pkg', 'pkh', 'pkl', 'pko', 'pkr', 'pks', 'pku', 'plc', 'plg', 'pll', 'pls', 'pmh', 'pmy', 'pos', 'psg', 'psh', 'pst', 'ptl', 'pvm', 'pzc', 'pzd']",
ProductionTechniques,kenmerken/lhtechbasistk.lhtechtk,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['tcl', 'tgt', 'tpe', 'tps']",
ProductionTechniques,kenmerken.lhtypohs,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['hs', 'hsts', 'pr', 'ts']",
ProductionTechniques,kenmerken.mpmstadiumhs,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['dk', 'hs']",
ProductionTechniques,kenmerken/mpmtechaanvtk.mpmtechtaddtk,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},['zgw'],
ProductionTechniques,kenmerken/mpmtechbasistk.mpmtechtk,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},['tpe'],
ProductionTechniques,kenmerken.mpmtypohs,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['form', 'hs']",
ProductionTechniques,kenmerken.rubedformgr,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},"['dtrvdw', 'dtrvgr', 'dtrvhs', 'dtrvif', 'dtrvnb', 'dtrvnt', 'dtrvod', 'dtrvrn', 'dtrvty']",
ProductionTechniques,kenmerken.rubstadiumhs,Production Technique Type,,column_lookup,{'lookup_file': 'technique_types.csv'},['hs'],
ProductionTechniques,kenmerken.lhtechvrijic,Production Technique Note,,,,,
Materials,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},['vleg'],
Materials,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},"['daa', 'dcu', 'dem', 'dgs', 'dho', 'div', 'dka', 'dku', 'dle', 'dme', 'dpp', 'dto', 'dtx', 'dzl', 'dzy']",
Materials,kenmerken/lhmateriaalob.lhmateriaalsoortob,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},"['daa', 'dbe', 'dbr', 'dcu', 'dgo', 'dgs', 'dho', 'div', 'dkt', 'dku', 'dle', 'dme', 'dpo', 'dst', 'dti', 'dtx', 'dyz', 'dzl', 'dzy']",
Materials,kenmerken/lhmateriaalob.lhmateriaalextraob,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},['vleg'],
Materials,kenmerken.lhschrijfhs,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},"['bi', 'ft', 'in', 'pc']",
Materials,kenmerken/lhtechaanvtk.lhtechtaddtk,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},"['tbp', 'tco', 'thk', 'tin', 'tkk', 'tkp', 'tkr', 'tnp', 'toi', 'tow', 'tpa', 'tpl', 'trp', 'tsg', 'tsl', 'tvs', 'twk', 'zaq', 'zbw', 'zdv', 'zov', 'zwv']",
Materials,kenmerken/lhtechbasisaq.lhtechaq,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},"['aaq', 'ago']",
Materials,kenmerken/lhtechbasispa.lhtechpa,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},"['sac', 'sov', 'stp', 'svo']",
Materials,kenmerken/lhtechbasissc.lhtechsc,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},"['bal', 'bar', 'bbr', 'bei', 'bgi', 'bgr', 'bgs', 'bho', 'bij', 'biv', 'bke', 'bko', 'bks', 'bli', 'bma', 'bmd', 'bmm', 'bmo', 'bol', 'bpe', 'bpl', 'bpo', 'bpr', 'bse', 'bsp', 'bst', 'bte', 'bth', 'bwa', 'bws', 'bza', 'bzi']",
Materials,kenmerken/lhtechbasistk.lhtechtk,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},"['tbp', 'tco', 'thk', 'tin', 'tkk', 'tkp', 'tkr', 'tnp', 'toi', 'top', 'tow', 'tpa', 'tpl', 'trp', 'tsg', 'tsl', 'tvs', 'twk']",
Materials,kenmerken.mpmschrijf,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},"['in', 'pc']",
Materials,kenmerken.mpmtechaanvtk.mpmtechtaddtk,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},['zbw'],
Materials,kenmerken.mpmtechbasistk.mpmtecht,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},['tin'],
Materials,kenmerken.rubschrijfhs,Material,,column_lookup,{'lookup_file': 'materiaal_types.csv'},"['bi', 'in', 'pc']",
Colours,kenmerken/lhdragerico.lhkleur,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kbe', 'kbj', 'kbl', 'kbr', 'kbs', 'kdb', 'kdr', 'kge', 'kgr', 'kgw', 'kiw', 'kjs', 'kkg', 'klb', 'klr', 'koj', 'kor', 'kro', 'krz', 'ksp', 'kwt', 'kzw']",
Colours,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kbe', 'kbl', 'kbr', 'kdr', 'kge', 'kgr', 'kor', 'kro', 'kwt', 'kzi', 'kzw']",
Colours,kenmerken/lhmateriaalob.lhmateriaalkleurob,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kbe', 'kbr', 'kdr', 'kge', 'kgr', 'kiw', 'kjs', 'kor', 'kro', 'kwt', 'kzi', 'kzw']",
Colours,kenmerken/lhtechaanvsc.lhkleur,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kbe', 'kbj', 'kbl', 'kbr', 'kbs', 'kdb', 'kdr', 'kge', 'kgr', 'kgw', 'kiw', 'kjs', 'kkg', 'klb', 'klr', 'koj', 'kor', 'kro', 'krz', 'kwt', 'kzi', 'kzw']",
Colours,kenmerken/lhtechaanvtk.lhkleur,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kbe', 'kbj', 'kbl', 'kbr', 'kbs', 'kdb', 'kdr', 'kge', 'kgr', 'kjs', 'kkg', 'klb', 'klr', 'koj', 'kor', 'kro', 'krz', 'ksp', 'kwt', 'kzi', 'kzw']",
Colours,kenmerken/lhtechbasisaq.lhkleur,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kgr', 'kjs', 'ksp', 'kzw']",
Colours,kenmerken/lhtechbasispa.lhkleur,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kdr', 'kro', 'kzw']",
Colours,kenmerken/lhtechbasispr.lhkleur,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kbe', 'kbj', 'kbl', 'kbr', 'kbs', 'kdb', 'kdr', 'kge', 'kgr', 'kgw', 'kiw', 'kjs', 'klb', 'klr', 'koj', 'kor', 'kro', 'krz', 'ksp', 'kwt', 'kzw']",
Colours,kenmerken/lhtechbasissc.lhkleur,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kbe', 'kbl', 'kbr', 'kbs', 'kdr', 'kge', 'kgr', 'kgw', 'kiw', 'kjs', 'kkg', 'klr', 'koj', 'kor', 'kro', 'krz', 'kwt', 'kzw']",
Colours,kenmerken/lhtechbasistk.lhkleur,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kbe', 'kbj', 'kbl', 'kbr', 'kbs', 'kdb', 'kdr', 'kge', 'kgr', 'kjs', 'klr', 'koj', 'kor', 'kro', 'krz', 'ksp', 'kwt', 'kzw']",
Colours,kenmerken/mpmtechaanvtk.mpmkleur,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},['kbr'],
Colours,kenmerken/mpmtechbasistk.mpmkleur,Colour,,column_lookup,{'lookup_file': 'kleur_types.csv'},"['kbr', 'kdr', 'ksp']",
Conditions,kenmerken.rubfyformgr,Condition Status,,lookup,{'lookup_file': 'conditie_types.csv'},,
Conditions,note.lhconditie,Condition State Note,"{'Condition State Notes Language': 'Nederlands', 'Condition State Notes Type': 'condition/examination description'}",,,,
DimensionSourceNotes,kenmerken/mpmformaths.mpmformathsafm,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken.mpmformatph,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken.mpmformattk,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/rubformaths.rubformathsafm,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhformaths.lhformathsafm,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhformatic.lhformatkaderic,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhformatic.lhformatwerkic,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhformatic.lhformatrandic,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhdiamic.lhdiamwerkic,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhdiamic.lhdiamkaderic,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhdiamic.lhdiamrandic,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhformatsc.lhformatvoetsc,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhformatsc.lhformatwerksc,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken.lhdiamsc,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken.lhformatps,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken.lhformatph,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken.lhformatdc,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken.lhdiamob,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhformatob.lhformatbrob,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhformatob.lhformatdiob,Dimension Source Note,,,,,
DimensionSourceNotes,kenmerken/lhformatob.lhformathoob,Dimension Source Note,,,,,
Dimensions,kenmerken/rubformaths.rubformathsafm,Dimension Value,"{'height': 'hoogte', 'width': 'breedte', 'depth': 'diepte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken.mpmformatph,Dimension Value,"{'height': 'hoogte', 'width': 'breedte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken.mpmformattk,Dimension Value,"{'height': 'hoogte', 'width': 'breedte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/mpmformaths.mpmformathsafm,Dimension Value,"{'height': 'hoogte', 'width': 'breedte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhformaths.lhformathsafm,Dimension Value,"{'height': 'hoogte', 'width': 'breedte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhformatic.lhformatkaderic,Dimension Value,"{'height': 'hoogte met kader', 'width': 'breedte met kader', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhformatic.lhformatwerkic,Dimension Value,"{'height': 'hoogte', 'width': 'breedte', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhformatic.lhformatrandic,Dimension Value,"{'height': 'hoogte met rand', 'width': 'breedte met rand', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhdiamic.lhdiamwerkic,Dimension Value,"{'diameter': 'diameter', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhdiamic.lhdiamkaderic,Dimension Value,"{'diameter': 'diameter met kader', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhdiamic.lhdiamrandic,Dimension Value,"{'diameter': 'diameter met rand', 'unit': 'millimeter'}",,,,
Dimensions,kenmerken/lhformatsc.lhformatvoetsc,Dimension Value,"{'height': 'hoogte van voetstuk', 'width': 'breedte van voetstuk', 'depth': 'diepte van voetstuk', 'unit': 'millimeter'}",,,,
