ResourceID,card,Object Number,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit
c79a41f3-52db-54c4-b572-6efd27739abb,e22_Dimensions,MMB.A.1197_#1,"26,1 x 19,6 cm",261,hoogte,millimeters
c79a41f3-52db-54c4-b572-6efd27739abb,e22_Dimensions,MMB.A.1197_#1,"26,1 x 19,6 cm",196,breedte,millimeters
150a7a2b-4c6b-5a87-a018-d9da63d5cc0a,e22_Dimensions,MMB.A.1198_#1,"27,2 x 20,3 cm",272,hoogte,millimeters
150a7a2b-4c6b-5a87-a018-d9da63d5cc0a,e22_Dimensions,MMB.A.1198_#1,"27,2 x 20,3 cm",203,breedte,millimeters
87191be8-5f84-5141-b6b0-19ec741ad8e6,e22_Dimensions,MMB.A.1199_#1,"27,5 x 20,0 cm",275,hoogte,millimeters
87191be8-5f84-5141-b6b0-19ec741ad8e6,e22_Dimensions,MMB.A.1199_#1,"27,5 x 20,0 cm",200,breedte,millimeters
71152f08-44fe-5015-98f3-7090753a5056,e22_Dimensions,MMB.A.1200_#1,"27,6 x 21,2 cm",276,hoogte,millimeters
71152f08-44fe-5015-98f3-7090753a5056,e22_Dimensions,MMB.A.1200_#1,"27,6 x 21,2 cm",212,breedte,millimeters
8e31a388-8e70-5092-b270-9e42701704c3,e22_Dimensions,MMB.A.1201_#1,"11 x 6,3 cm",110,hoogte,millimeters
8e31a388-8e70-5092-b270-9e42701704c3,e22_Dimensions,MMB.A.1201_#1,"11 x 6,3 cm",63,breedte,millimeters
9ba78331-fd77-5e3e-8b68-b313986f717e,e22_Dimensions,MMB.A.1202_#1,"11,1 x 7,1 cm",111,hoogte,millimeters
9ba78331-fd77-5e3e-8b68-b313986f717e,e22_Dimensions,MMB.A.1202_#1,"11,1 x 7,1 cm",71,breedte,millimeters
e1850fd4-95e9-577d-af0d-31aebf74eb96,e22_Dimensions,MMB.A.1203_#1,"10,8 x 7,0 cm",108,hoogte,millimeters
e1850fd4-95e9-577d-af0d-31aebf74eb96,e22_Dimensions,MMB.A.1203_#1,"10,8 x 7,0 cm",70,breedte,millimeters
dc57f0d2-fce4-5bc2-af8f-f2446f38f9d6,e22_Dimensions,MMB.A.1204_#1,"10,2 x 6,4 cm",102,hoogte,millimeters
dc57f0d2-fce4-5bc2-af8f-f2446f38f9d6,e22_Dimensions,MMB.A.1204_#1,"10,2 x 6,4 cm",64,breedte,millimeters
f66aa3db-2e0d-5395-b893-5e19e8ecac11,e22_Dimensions,MMB.A.1205_#1,"10,4 x 6,6 cm",104,hoogte,millimeters
f66aa3db-2e0d-5395-b893-5e19e8ecac11,e22_Dimensions,MMB.A.1205_#1,"10,4 x 6,6 cm",66,breedte,millimeters
ccbd3d3d-e74b-5cee-92c5-cac031b6927f,e22_Dimensions,MMB.A.1206_#1,"10,2 x 6,6 cm",102,hoogte,millimeters
ccbd3d3d-e74b-5cee-92c5-cac031b6927f,e22_Dimensions,MMB.A.1206_#1,"10,2 x 6,6 cm",66,breedte,millimeters
f5caffa0-b4ba-51da-8472-fd7a5eb212d1,e22_Dimensions,MMB.A.1207_#1,"11,0 x 6,6 cm",110,hoogte,millimeters
f5caffa0-b4ba-51da-8472-fd7a5eb212d1,e22_Dimensions,MMB.A.1207_#1,"11,0 x 6,6 cm",66,breedte,millimeters
727322e3-4c3a-5dd9-8b54-ab754ad5f00a,e22_Dimensions,MMB.A.1208_#1,"10,7 x 6,7 cm",107,hoogte,millimeters
727322e3-4c3a-5dd9-8b54-ab754ad5f00a,e22_Dimensions,MMB.A.1208_#1,"10,7 x 6,7 cm",67,breedte,millimeters
3d71a4a4-1da7-50cd-8178-b2d3a78f098f,e22_Dimensions,MMB.A.1209_#1,"10,2 x 6,7 cm",102,hoogte,millimeters
3d71a4a4-1da7-50cd-8178-b2d3a78f098f,e22_Dimensions,MMB.A.1209_#1,"10,2 x 6,7 cm",67,breedte,millimeters
43ba160e-21bb-5a47-baa5-1d80749fc4a1,e22_Dimensions,MMB.A.1210_#1,"9,4 x 6,5 cm",94,hoogte,millimeters
43ba160e-21bb-5a47-baa5-1d80749fc4a1,e22_Dimensions,MMB.A.1210_#1,"9,4 x 6,5 cm",65,breedte,millimeters
202cbea2-7de0-5ba2-8b69-35ba14eb6a06,e22_Dimensions,MMB.A.1211_#1,"12 x 7,8 cm",120,hoogte,millimeters
202cbea2-7de0-5ba2-8b69-35ba14eb6a06,e22_Dimensions,MMB.A.1211_#1,"12 x 7,8 cm",78,breedte,millimeters
02a7c43b-567d-5262-834b-8e7dd9d3a2b3,e22_Dimensions,MMB.A.1212_#1,"10,8 x 7,2 cm",108,hoogte,millimeters
02a7c43b-567d-5262-834b-8e7dd9d3a2b3,e22_Dimensions,MMB.A.1212_#1,"10,8 x 7,2 cm",72,breedte,millimeters
9a0a905e-f600-5f84-900d-6df7b5301a31,e22_Dimensions,MMB.A.1213_#1,"11 x 7,1 cm",110,hoogte,millimeters
9a0a905e-f600-5f84-900d-6df7b5301a31,e22_Dimensions,MMB.A.1213_#1,"11 x 7,1 cm",71,breedte,millimeters
8a09bdb3-d90a-52b0-a55f-f0eb7ca9f127,e22_Dimensions,MMB.A.1214_#1,"11 x 7,1 cm",110,hoogte,millimeters
8a09bdb3-d90a-52b0-a55f-f0eb7ca9f127,e22_Dimensions,MMB.A.1214_#1,"11 x 7,1 cm",71,breedte,millimeters
10259d16-d64d-56b7-b4c0-2920fb6822be,e22_Dimensions,MMB.A.1215_#1,"10,4 x 6,9 cm",104,hoogte,millimeters
10259d16-d64d-56b7-b4c0-2920fb6822be,e22_Dimensions,MMB.A.1215_#1,"10,4 x 6,9 cm",69,breedte,millimeters
8e948d6d-2ef4-5624-866c-79ed840cdeb2,e22_Dimensions,MMB.A.1224_#1,"5,9 x 9,2 cm",59,hoogte,millimeters
8e948d6d-2ef4-5624-866c-79ed840cdeb2,e22_Dimensions,MMB.A.1224_#1,"5,9 x 9,2 cm",92,breedte,millimeters
5247f5d8-ddee-5a2a-8f1c-9abe3e45e5b9,e22_Dimensions,MMB.A.1231_#1,"3,8 x 7,7 cm",38,hoogte,millimeters
5247f5d8-ddee-5a2a-8f1c-9abe3e45e5b9,e22_Dimensions,MMB.A.1231_#1,"3,8 x 7,7 cm",77,breedte,millimeters
6f8ecc87-55bb-555d-b290-ecb9619dd44a,e22_Dimensions,MMB.A.1236_#1,"10,5 x 11,2 cm",105,hoogte,millimeters
6f8ecc87-55bb-555d-b290-ecb9619dd44a,e22_Dimensions,MMB.A.1236_#1,"10,5 x 11,2 cm",112,breedte,millimeters
bc8959b7-86e8-5c0c-810d-f36935a1ceab,e22_Dimensions,MMB.A.1237_#1,"10,5 x 11,2 cm",105,hoogte,millimeters
bc8959b7-86e8-5c0c-810d-f36935a1ceab,e22_Dimensions,MMB.A.1237_#1,"10,5 x 11,2 cm",112,breedte,millimeters
5094166b-8638-577c-a9fc-47acf7ad6dc9,e22_Dimensions,MMB.A.1238_#1,"10,3 x 6,6 cm",103,hoogte,millimeters
5094166b-8638-577c-a9fc-47acf7ad6dc9,e22_Dimensions,MMB.A.1238_#1,"10,3 x 6,6 cm",66,breedte,millimeters
4766d069-ec5e-5fd0-a2a0-db42912a8fa1,e22_Dimensions,MMB.A.1239_#1,"10,3 x 6,6 cm",103,hoogte,millimeters
4766d069-ec5e-5fd0-a2a0-db42912a8fa1,e22_Dimensions,MMB.A.1239_#1,"10,3 x 6,6 cm",66,breedte,millimeters
3ff121cd-de57-5e58-9a64-3085887b48f4,e22_Dimensions,MMB.A.1240_#1,"10,8 x 6,6 cm",108,hoogte,millimeters
3ff121cd-de57-5e58-9a64-3085887b48f4,e22_Dimensions,MMB.A.1240_#1,"10,8 x 6,6 cm",66,breedte,millimeters
7bffca9a-54ff-54e5-9258-36c9186d7fc6,e22_Dimensions,MMB.A.1241_#1,"10,8 x 6,6 cm",108,hoogte,millimeters
7bffca9a-54ff-54e5-9258-36c9186d7fc6,e22_Dimensions,MMB.A.1241_#1,"10,8 x 6,6 cm",66,breedte,millimeters
f122e404-6518-5c17-90e0-e745370d6bb3,e22_Dimensions,MMB.A.1242_#1,"16,4 x 9,2 cm",164,hoogte,millimeters
f122e404-6518-5c17-90e0-e745370d6bb3,e22_Dimensions,MMB.A.1242_#1,"16,4 x 9,2 cm",92,breedte,millimeters
239f02f5-5c8c-52af-8d96-2ef53b057008,e22_Dimensions,MMB.A.1243_#1,"15,6 x 10,3 cm",156,hoogte,millimeters
239f02f5-5c8c-52af-8d96-2ef53b057008,e22_Dimensions,MMB.A.1243_#1,"15,6 x 10,3 cm",103,breedte,millimeters
7e9a7737-a075-5acb-be5a-6ee021aefce0,e22_Dimensions,MMB.A.1263_#1,"35,9 x 46,2 cm",359,hoogte,millimeters
7e9a7737-a075-5acb-be5a-6ee021aefce0,e22_Dimensions,MMB.A.1263_#1,"35,9 x 46,2 cm",462,breedte,millimeters
7e6a296a-fbe5-5724-97f6-f76409ed8d9c,e22_Dimensions,MMB.A.1269_#1,"16,5 x 23 cm",165,hoogte,millimeters
7e6a296a-fbe5-5724-97f6-f76409ed8d9c,e22_Dimensions,MMB.A.1269_#1,"16,5 x 23 cm",230,breedte,millimeters
2ea566d8-5196-5c6d-ae5d-fd023a249523,e22_Dimensions,MMB.A.1270_#1,"35,5 x 43,4 cm",355,hoogte,millimeters
2ea566d8-5196-5c6d-ae5d-fd023a249523,e22_Dimensions,MMB.A.1270_#1,"35,5 x 43,4 cm",434,breedte,millimeters
eafc4487-68ec-53fa-8613-b33ec135fd70,e22_Dimensions,MMB.A.1276_#1,"32,7 x 43,7 cm",327,hoogte,millimeters
eafc4487-68ec-53fa-8613-b33ec135fd70,e22_Dimensions,MMB.A.1276_#1,"32,7 x 43,7 cm",437,breedte,millimeters
f211d286-340a-5b3f-a905-51044c579dbc,e22_Dimensions,MMB.A.1277_#1,"21,5 x 16,5 cm",215,hoogte,millimeters
f211d286-340a-5b3f-a905-51044c579dbc,e22_Dimensions,MMB.A.1277_#1,"21,5 x 16,5 cm",165,breedte,millimeters
9d592524-4c2e-5e41-b466-9ca68292bfda,e22_Dimensions,MMB.A.1278_#1,"21,6 x 16,5 cm",216,hoogte,millimeters
9d592524-4c2e-5e41-b466-9ca68292bfda,e22_Dimensions,MMB.A.1278_#1,"21,6 x 16,5 cm",165,breedte,millimeters
291e122f-ed10-5991-a5a8-0fa008517e92,e22_Dimensions,MMB.A.1284_#1,"23,1 x 15,8 cm",231,hoogte,millimeters
291e122f-ed10-5991-a5a8-0fa008517e92,e22_Dimensions,MMB.A.1284_#1,"23,1 x 15,8 cm",158,breedte,millimeters
bfabd67f-360c-53af-961f-d7ac972b8183,e22_Dimensions,MMB.A.1285_#1,"24,3 x 16 cm",243,hoogte,millimeters
bfabd67f-360c-53af-961f-d7ac972b8183,e22_Dimensions,MMB.A.1285_#1,"24,3 x 16 cm",160,breedte,millimeters
efdf7258-5981-5057-919e-2ca99aa1acb6,e22_Dimensions,MMB.A.1286_#1,"21 x 16,5 cm",210,hoogte,millimeters
efdf7258-5981-5057-919e-2ca99aa1acb6,e22_Dimensions,MMB.A.1286_#1,"21 x 16,5 cm",165,breedte,millimeters
38091fc3-5fdb-5e90-82c5-a68893f9faec,e22_Dimensions,MMB.A.1287_#1,"26,8 x 19,7 cm",268,hoogte,millimeters
38091fc3-5fdb-5e90-82c5-a68893f9faec,e22_Dimensions,MMB.A.1287_#1,"26,8 x 19,7 cm",197,breedte,millimeters
06cb669c-92ef-5f49-8985-baa8bdd76144,e22_Dimensions,MMB.A.1288_#1,"11,5 x 18,2 cm",115,hoogte,millimeters
06cb669c-92ef-5f49-8985-baa8bdd76144,e22_Dimensions,MMB.A.1288_#1,"11,5 x 18,2 cm",182,breedte,millimeters
d01a1b67-f3c1-59fc-8cc2-da76112077b0,e22_Dimensions,MMB.A.1289_#1,24 x 15 cm,240,hoogte,millimeters
d01a1b67-f3c1-59fc-8cc2-da76112077b0,e22_Dimensions,MMB.A.1289_#1,24 x 15 cm,150,breedte,millimeters
56b64c26-755f-50a6-bfee-2efac95c6bdb,e22_Dimensions,MMB.A.1296_#1,"7,7 x 10,1 cm",77,hoogte,millimeters
56b64c26-755f-50a6-bfee-2efac95c6bdb,e22_Dimensions,MMB.A.1296_#1,"7,7 x 10,1 cm",101,breedte,millimeters
949a9a30-7d04-5d96-8dd8-fa98b5597984,e22_Dimensions,MMB.A.1297_#1,"4,1 x 7,7 cm",41,hoogte,millimeters
949a9a30-7d04-5d96-8dd8-fa98b5597984,e22_Dimensions,MMB.A.1297_#1,"4,1 x 7,7 cm",77,breedte,millimeters
53c93be3-36b9-5910-85fe-b37dfa2daaee,e22_Dimensions,MMB.A.1319_#1,"11 x 21,7 cm",110,hoogte,millimeters
53c93be3-36b9-5910-85fe-b37dfa2daaee,e22_Dimensions,MMB.A.1319_#1,"11 x 21,7 cm",217,breedte,millimeters
2290d47a-ae3c-5bbf-91ef-e863221f1d4c,e22_Dimensions,MMB.A.1320_#1,"11 x 21,7 cm",110,hoogte,millimeters
2290d47a-ae3c-5bbf-91ef-e863221f1d4c,e22_Dimensions,MMB.A.1320_#1,"11 x 21,7 cm",217,breedte,millimeters
a74cac71-5285-59d2-b73a-b90b1b6a6371,e22_Dimensions,MMB.A.1321_#1,"11,6 x 24,1 cm",116,hoogte,millimeters
a74cac71-5285-59d2-b73a-b90b1b6a6371,e22_Dimensions,MMB.A.1321_#1,"11,6 x 24,1 cm",241,breedte,millimeters
b2588791-3728-54c6-95d1-e3275b10318d,e22_Dimensions,MMB.A.1322_#1,"36 x 23,3 cm",360,hoogte,millimeters
b2588791-3728-54c6-95d1-e3275b10318d,e22_Dimensions,MMB.A.1322_#1,"36 x 23,3 cm",233,breedte,millimeters
c75df007-cd6c-5e30-acb6-9875092d8983,e22_Dimensions,MMB.A.1338_#1,"34,3 x 21,7 cm",343,hoogte,millimeters
c75df007-cd6c-5e30-acb6-9875092d8983,e22_Dimensions,MMB.A.1338_#1,"34,3 x 21,7 cm",217,breedte,millimeters
39b5b90d-b23f-57d7-9c86-c9e64abbb74f,e22_Dimensions,MMB.A.1342_#1,"4,5 x 8,3 cm",45,hoogte,millimeters
39b5b90d-b23f-57d7-9c86-c9e64abbb74f,e22_Dimensions,MMB.A.1342_#1,"4,5 x 8,3 cm",83,breedte,millimeters
afef21ea-fc81-52a1-b5d5-2af5271e25e7,e22_Dimensions,MMB.A.1352_#1,"20,3 x 25,5 cm",203,hoogte,millimeters
afef21ea-fc81-52a1-b5d5-2af5271e25e7,e22_Dimensions,MMB.A.1352_#1,"20,3 x 25,5 cm",255,breedte,millimeters
ae0892bc-7c76-578e-9777-b10136a2d4cc,e22_Dimensions,MMB.A.1363_#1,"12,9 x 19,2 cm",129,hoogte,millimeters
ae0892bc-7c76-578e-9777-b10136a2d4cc,e22_Dimensions,MMB.A.1363_#1,"12,9 x 19,2 cm",192,breedte,millimeters
9ac1284c-7943-5ab5-943a-8a02f01b9bd3,e22_Dimensions,MMB.A.1368_#1,"30,9 x 19,1 cm",309,hoogte,millimeters
9ac1284c-7943-5ab5-943a-8a02f01b9bd3,e22_Dimensions,MMB.A.1368_#1,"30,9 x 19,1 cm",191,breedte,millimeters
ad0eafe7-c60e-5a20-866b-a2940fc2cd21,e22_Dimensions,MMB.A.1369_#1,"34,5 x 43 cm",345,hoogte,millimeters
ad0eafe7-c60e-5a20-866b-a2940fc2cd21,e22_Dimensions,MMB.A.1369_#1,"34,5 x 43 cm",430,breedte,millimeters
65f54792-7ee0-57b9-b3b7-a2640e11f3a4,e22_Dimensions,MMB.A.1406_#1,"34 x 21,1 cm",340,hoogte,millimeters
65f54792-7ee0-57b9-b3b7-a2640e11f3a4,e22_Dimensions,MMB.A.1406_#1,"34 x 21,1 cm",211,breedte,millimeters
78fd0b39-1547-574e-94cb-5711c42eb757,e22_Dimensions,MMB.A.1454_#1,"34 x 21,5 cm",340,hoogte,millimeters
78fd0b39-1547-574e-94cb-5711c42eb757,e22_Dimensions,MMB.A.1454_#1,"34 x 21,5 cm",215,breedte,millimeters
eecb120e-e891-5a7f-b196-60f9f7e2fa9d,e22_Dimensions,MMB.A.1455_#1,"13,7 x 18,9 cm",137,hoogte,millimeters
eecb120e-e891-5a7f-b196-60f9f7e2fa9d,e22_Dimensions,MMB.A.1455_#1,"13,7 x 18,9 cm",189,breedte,millimeters
297cbdca-548e-5283-a099-c2ffb4947a33,e22_Dimensions,MMB.A.1456_#1,"16,7 x 21,1 cm",167,hoogte,millimeters
297cbdca-548e-5283-a099-c2ffb4947a33,e22_Dimensions,MMB.A.1456_#1,"16,7 x 21,1 cm",211,breedte,millimeters
93b95e31-1ddc-5735-bfe9-ea78a9155bfc,e22_Dimensions,MMB.A.1457_#1,"16,7 x 21,1 cm",167,hoogte,millimeters
93b95e31-1ddc-5735-bfe9-ea78a9155bfc,e22_Dimensions,MMB.A.1457_#1,"16,7 x 21,1 cm",211,breedte,millimeters
d0d45958-6650-54be-80e9-857dba13bcef,e22_Dimensions,MMB.A.1458_#1,"27,4 x 21,9 cm",274,hoogte,millimeters
d0d45958-6650-54be-80e9-857dba13bcef,e22_Dimensions,MMB.A.1458_#1,"27,4 x 21,9 cm",219,breedte,millimeters
dbed0c68-cdac-58ca-b17c-609dea1bece3,e22_Dimensions,MMB.A.1459_#1,"27,4 x 21,2 cm",274,hoogte,millimeters
dbed0c68-cdac-58ca-b17c-609dea1bece3,e22_Dimensions,MMB.A.1459_#1,"27,4 x 21,2 cm",212,breedte,millimeters
cd3e4c30-0b88-5aa0-b66e-8b7207f06cda,e22_Dimensions,MMB.A.1460_#1,"28 x 21,7 cm",280,hoogte,millimeters
cd3e4c30-0b88-5aa0-b66e-8b7207f06cda,e22_Dimensions,MMB.A.1460_#1,"28 x 21,7 cm",217,breedte,millimeters
509b829f-b5a9-5a80-9ade-4f22b329071a,e22_Dimensions,MMB.A.1461_#1,"28,1 x 21,8 cm",281,hoogte,millimeters
509b829f-b5a9-5a80-9ade-4f22b329071a,e22_Dimensions,MMB.A.1461_#1,"28,1 x 21,8 cm",218,breedte,millimeters
422c9e42-9665-56af-9349-28b55631a3c4,e22_Dimensions,MMB.A.1462_#1,"18 x 20,5 cm",180,hoogte,millimeters
422c9e42-9665-56af-9349-28b55631a3c4,e22_Dimensions,MMB.A.1462_#1,"18 x 20,5 cm",205,breedte,millimeters
15b7e536-a701-5d87-84a4-4c4613f4d445,e22_Dimensions,MMB.A.1463_#1,"26,4 x 17,1 cm",264,hoogte,millimeters
15b7e536-a701-5d87-84a4-4c4613f4d445,e22_Dimensions,MMB.A.1463_#1,"26,4 x 17,1 cm",171,breedte,millimeters
698936c7-dd67-5712-9128-040b7edb4b74,e22_Dimensions,MMB.A.1464_#1,"24,2 x 21,5 cm",242,hoogte,millimeters
698936c7-dd67-5712-9128-040b7edb4b74,e22_Dimensions,MMB.A.1464_#1,"24,2 x 21,5 cm",215,breedte,millimeters
66de5ebf-189f-5ff1-bf83-d8ca62e527b1,e22_Dimensions,MMB.A.1465_#1,"26,5 x 21,1 cm",265,hoogte,millimeters
66de5ebf-189f-5ff1-bf83-d8ca62e527b1,e22_Dimensions,MMB.A.1465_#1,"26,5 x 21,1 cm",211,breedte,millimeters
a10cd7d6-a8ea-58f0-93f9-56dcbcc71221,e22_Dimensions,MMB.A.1467_#1,"27,4 x 21,6 cm",274,hoogte,millimeters
a10cd7d6-a8ea-58f0-93f9-56dcbcc71221,e22_Dimensions,MMB.A.1467_#1,"27,4 x 21,6 cm",216,breedte,millimeters
5d56e537-faf3-547d-905e-440e6d2fdf97,e22_Dimensions,MMB.A.1468_#1,"27,3 x 21,6 cm",273,hoogte,millimeters
5d56e537-faf3-547d-905e-440e6d2fdf97,e22_Dimensions,MMB.A.1468_#1,"27,3 x 21,6 cm",216,breedte,millimeters
8c56abcc-8304-53f8-b72c-3bf2792f8419,e22_Dimensions,MMB.A.1469_#1,"27,3 x 21,2 cm",273,hoogte,millimeters
8c56abcc-8304-53f8-b72c-3bf2792f8419,e22_Dimensions,MMB.A.1469_#1,"27,3 x 21,2 cm",212,breedte,millimeters
abf69221-894e-5c15-8726-0a6a907e4767,e22_Dimensions,MMB.A.1470_#1,"27,8 x 21,4 cm",278,hoogte,millimeters
abf69221-894e-5c15-8726-0a6a907e4767,e22_Dimensions,MMB.A.1470_#1,"27,8 x 21,4 cm",214,breedte,millimeters
56d9a1a4-3994-5779-b0de-e9d3cd3100fd,e22_Dimensions,MMB.A.1472_#1,"18,1 x 21,8 cm",181,hoogte,millimeters
56d9a1a4-3994-5779-b0de-e9d3cd3100fd,e22_Dimensions,MMB.A.1472_#1,"18,1 x 21,8 cm",218,breedte,millimeters
7fc9ff6d-dd4b-5b87-a655-ee1745f68c8c,e22_Dimensions,MMB.A.1473_#1,"33,3 x 21,1 cm",333,hoogte,millimeters
7fc9ff6d-dd4b-5b87-a655-ee1745f68c8c,e22_Dimensions,MMB.A.1473_#1,"33,3 x 21,1 cm",211,breedte,millimeters
cfcd4f01-2cb2-5372-9eee-ef081632d0cd,e22_Dimensions,MMB.A.1474_#1,"21,6 x 17,8 cm",216,hoogte,millimeters
cfcd4f01-2cb2-5372-9eee-ef081632d0cd,e22_Dimensions,MMB.A.1474_#1,"21,6 x 17,8 cm",178,breedte,millimeters
f8bd8d25-1671-5c04-9041-15dc373cc836,e22_Dimensions,MMB.A.1475_#1,"33,9 x 21,1 cm",339,hoogte,millimeters
f8bd8d25-1671-5c04-9041-15dc373cc836,e22_Dimensions,MMB.A.1475_#1,"33,9 x 21,1 cm",211,breedte,millimeters
54dadb67-ca0e-5a5e-9a6e-108e4bec86f6,e22_Dimensions,MMB.A.1476_#1,"21,2 x 13,9 cm",212,hoogte,millimeters
54dadb67-ca0e-5a5e-9a6e-108e4bec86f6,e22_Dimensions,MMB.A.1476_#1,"21,2 x 13,9 cm",139,breedte,millimeters
2fa1444e-46b0-5174-8fd3-129d87fb083b,e22_Dimensions,MMB.A.1478_#1,"20,9 x 16,8 cm",209,hoogte,millimeters
2fa1444e-46b0-5174-8fd3-129d87fb083b,e22_Dimensions,MMB.A.1478_#1,"20,9 x 16,8 cm",168,breedte,millimeters
253d0c3e-444b-57fe-90f4-d389d77432d8,e22_Dimensions,MMB.A.1479_#1,"12,4 x 18 cm",124,hoogte,millimeters
253d0c3e-444b-57fe-90f4-d389d77432d8,e22_Dimensions,MMB.A.1479_#1,"12,4 x 18 cm",180,breedte,millimeters
1d3fb492-5190-520b-ab34-d8564d65faf7,e22_Dimensions,MMB.A.1480_#1,"14,6 x 21,1 cm",146,hoogte,millimeters
1d3fb492-5190-520b-ab34-d8564d65faf7,e22_Dimensions,MMB.A.1480_#1,"14,6 x 21,1 cm",211,breedte,millimeters
864d9c22-81aa-52f5-a178-865bdf2c6760,e22_Dimensions,MMB.A.1481_#1,"15 x 21,6 cm",150,hoogte,millimeters
864d9c22-81aa-52f5-a178-865bdf2c6760,e22_Dimensions,MMB.A.1481_#1,"15 x 21,6 cm",216,breedte,millimeters
dd372f35-1ba8-5475-8da9-9241bad39e28,e22_Dimensions,MMB.A.1482_#1,"20,9 x 13,9 cm",209,hoogte,millimeters
dd372f35-1ba8-5475-8da9-9241bad39e28,e22_Dimensions,MMB.A.1482_#1,"20,9 x 13,9 cm",139,breedte,millimeters
03c7d5ca-9774-5166-81bd-4b87c648e682,e22_Dimensions,MMB.A.1483_#1,"21,5 x 14 cm",215,hoogte,millimeters
03c7d5ca-9774-5166-81bd-4b87c648e682,e22_Dimensions,MMB.A.1483_#1,"21,5 x 14 cm",140,breedte,millimeters
63fa4f40-87b7-5e71-ac67-dc15f3bb4b09,e22_Dimensions,MMB.A.1484_#1,"17,3 x 26,3 cm",173,hoogte,millimeters
63fa4f40-87b7-5e71-ac67-dc15f3bb4b09,e22_Dimensions,MMB.A.1484_#1,"17,3 x 26,3 cm",263,breedte,millimeters
13ed22fe-7510-5305-ae44-01915cce5d88,e22_Dimensions,MMB.A.1485_#1,"14,8 x 22,3 cm",148,hoogte,millimeters
13ed22fe-7510-5305-ae44-01915cce5d88,e22_Dimensions,MMB.A.1485_#1,"14,8 x 22,3 cm",223,breedte,millimeters
1cb1b45d-0008-50eb-8fe6-9408821d3f6c,e22_Dimensions,MMB.A.1486_#1,"20 x 23,5 cm",200,hoogte,millimeters
1cb1b45d-0008-50eb-8fe6-9408821d3f6c,e22_Dimensions,MMB.A.1486_#1,"20 x 23,5 cm",235,breedte,millimeters
a0581a47-640f-5f3c-bbc4-c8875bac5cf8,e22_Dimensions,MMB.A.1490_#1,"27,8 x 21,8 cm",278,hoogte,millimeters
a0581a47-640f-5f3c-bbc4-c8875bac5cf8,e22_Dimensions,MMB.A.1490_#1,"27,8 x 21,8 cm",218,breedte,millimeters
22df5e7f-3e50-5710-978a-f9dd862d5c61,e22_Dimensions,MMB.A.1515_#1,"27,6 x 21,4 cm",276,hoogte,millimeters
22df5e7f-3e50-5710-978a-f9dd862d5c61,e22_Dimensions,MMB.A.1515_#1,"27,6 x 21,4 cm",214,breedte,millimeters
1926bcdb-4f64-5bc7-8a16-04f74366aef8,e22_Dimensions,MMB.A.1516_#1,"21,3 x 27 cm",213,hoogte,millimeters
1926bcdb-4f64-5bc7-8a16-04f74366aef8,e22_Dimensions,MMB.A.1516_#1,"21,3 x 27 cm",270,breedte,millimeters
